G-mean Score,Classifier,Standard,Proposed
0.60,KNN,4.0\%,\textbf{2.1\%}
0.60,LR,2.2\%,\textbf{2.1\%}
0.60,RF,2.2\%,\textbf{2.1\%}
0.65,KNN,5.6\%,\textbf{2.8\%}
0.65,LR,3.0\%,\textbf{2.7\%}
0.65,RF,3.1\%,\textbf{2.6\%}
0.70,KNN,7.9\%,\textbf{4.1\%}
0.70,LR,4.2\%,\textbf{4.1\%}
0.70,RF,4.5\%,\textbf{3.6\%}
0.75,KNN,13.5\%,\textbf{7.1\%}
0.75,LR,7.2\%,\textbf{6.6\%}
0.75,RF,6.6\%,\textbf{5.4\%}
0.80,KNN,24.4\%,\textbf{16.9\%}
0.80,LR,13.1\%,\textbf{11.7\%}
0.80,RF,11.6\%,\textbf{9.2\%}
0.85,KNN,29.8\%,\textbf{23.6\%}
0.85,LR,19.8\%,\textbf{18.8\%}
0.85,RF,23.1\%,\textbf{17.3\%}
0.90,KNN,41.0\%,\textbf{36.1\%}
0.90,LR,28.1\%,\textbf{24.8\%}
0.90,RF,37.1\%,\textbf{30.3\%}
0.95,KNN,71.3\%,\textbf{69.1\%}
0.95,LR,45.8\%,\textbf{40.2\%}
0.95,RF,64.6\%,\textbf{62.2\%}
