G-mean Score,Classifier,Standard,G-SMOTE,Proposed
0.60,DT,3.2\%,\textbf{3.1\%},3.2\%
0.60,KNN,3.6\%,2.6\%,\textbf{2.5\%}
0.60,LR,3.9\%,\textbf{2.2\%},\textbf{2.2\%}
0.60,RF,2.4\%,\textbf{2.1\%},\textbf{2.1\%}
0.62,DT,\textbf{3.5\%},\textbf{3.5\%},\textbf{3.5\%}
0.62,KNN,4.0\%,2.9\%,\textbf{2.7\%}
0.62,LR,4.3\%,\textbf{2.5\%},\textbf{2.5\%}
0.62,RF,2.6\%,\textbf{2.3\%},\textbf{2.3\%}
0.64,DT,4.0\%,4.0\%,\textbf{3.9\%}
0.64,KNN,4.3\%,3.3\%,\textbf{3.0\%}
0.64,LR,4.9\%,2.8\%,\textbf{2.7\%}
0.64,RF,2.9\%,\textbf{2.5\%},2.6\%
0.66,DT,4.6\%,4.6\%,\textbf{4.2\%}
0.66,KNN,4.9\%,3.7\%,\textbf{3.5\%}
0.66,LR,5.7\%,3.2\%,\textbf{3.1\%}
0.66,RF,3.0\%,2.8\%,\textbf{2.7\%}
0.68,DT,5.3\%,5.3\%,\textbf{5.0\%}
0.68,KNN,5.9\%,4.2\%,\textbf{4.0\%}
0.68,LR,8.2\%,3.7\%,\textbf{3.5\%}
0.68,RF,3.4\%,\textbf{3.0\%},\textbf{3.0\%}
0.70,DT,6.6\%,6.1\%,\textbf{5.8\%}
0.70,KNN,8.5\%,5.0\%,\textbf{4.7\%}
0.70,LR,9.5\%,4.6\%,\textbf{4.3\%}
0.70,RF,4.5\%,\textbf{3.2\%},3.3\%
0.72,DT,8.1\%,7.5\%,\textbf{7.2\%}
0.72,KNN,12.1\%,6.1\%,\textbf{5.7\%}
0.72,LR,13.1\%,5.7\%,\textbf{5.2\%}
0.72,RF,5.9\%,4.0\%,\textbf{3.9\%}
0.74,DT,11.6\%,\textbf{9.3\%},\textbf{9.3\%}
0.74,KNN,14.9\%,7.6\%,\textbf{7.4\%}
0.74,LR,14.0\%,7.2\%,\textbf{6.2\%}
0.74,RF,7.9\%,\textbf{4.6\%},\textbf{4.6\%}
0.76,DT,16.5\%,13.0\%,\textbf{12.7\%}
0.76,KNN,17.8\%,9.7\%,\textbf{9.0\%}
0.76,LR,16.6\%,10.0\%,\textbf{7.8\%}
0.76,RF,10.1\%,\textbf{5.5\%},\textbf{5.5\%}
0.78,DT,25.0\%,\textbf{18.9\%},\textbf{18.9\%}
0.78,KNN,20.4\%,\textbf{12.4\%},12.5\%
0.78,LR,21.5\%,13.8\%,\textbf{10.5\%}
0.78,RF,11.9\%,7.2\%,\textbf{6.9\%}
0.80,DT,36.1\%,30.4\%,\textbf{27.1\%}
0.80,KNN,22.7\%,18.0\%,\textbf{17.8\%}
0.80,LR,25.2\%,16.0\%,\textbf{14.2\%}
0.80,RF,15.5\%,\textbf{9.0\%},9.5\%
0.82,DT,49.8\%,43.6\%,\textbf{42.1\%}
0.82,KNN,28.4\%,\textbf{21.7\%},24.2\%
0.82,LR,29.8\%,18.3\%,\textbf{16.7\%}
0.82,RF,18.2\%,14.0\%,\textbf{13.7\%}
0.84,DT,54.7\%,50.2\%,\textbf{49.4\%}
0.84,KNN,34.4\%,\textbf{29.6\%},30.0\%
0.84,LR,31.0\%,\textbf{23.2\%},23.8\%
0.84,RF,23.0\%,\textbf{19.8\%},20.4\%
0.86,DT,60.5\%,56.7\%,\textbf{54.5\%}
0.86,KNN,39.9\%,\textbf{37.0\%},37.8\%
0.86,LR,32.6\%,27.5\%,\textbf{27.0\%}
0.86,RF,28.0\%,\textbf{25.7\%},\textbf{25.7\%}
0.88,DT,65.5\%,63.3\%,\textbf{61.4\%}
0.88,KNN,43.0\%,42.3\%,\textbf{41.4\%}
0.88,LR,40.7\%,35.3\%,\textbf{33.8\%}
0.88,RF,33.6\%,\textbf{31.8\%},32.3\%
0.90,DT,72.5\%,70.7\%,\textbf{67.8\%}
0.90,KNN,49.9\%,50.3\%,\textbf{49.3\%}
0.90,LR,52.5\%,53.8\%,\textbf{49.3\%}
0.90,RF,44.6\%,\textbf{42.6\%},43.5\%
0.92,DT,82.5\%,80.2\%,\textbf{76.7\%}
0.92,KNN,55.7\%,56.9\%,\textbf{54.2\%}
0.92,LR,64.3\%,65.4\%,\textbf{61.9\%}
0.92,RF,49.1\%,48.7\%,\textbf{48.4\%}
0.94,DT,97.0\%,95.3\%,\textbf{92.4\%}
0.94,KNN,65.0\%,64.8\%,\textbf{63.0\%}
0.94,LR,74.1\%,76.0\%,\textbf{72.1\%}
0.94,RF,55.2\%,54.4\%,\textbf{53.1\%}
0.96,DT,100.0\%,\textbf{99.5\%},100.0\%
0.96,KNN,79.4\%,75.6\%,\textbf{71.6\%}
0.96,LR,87.5\%,83.1\%,\textbf{79.8\%}
0.96,RF,63.6\%,64.2\%,\textbf{63.1\%}
0.98,DT,\textbf{100.0\%},\textbf{100.0\%},\textbf{100.0\%}
0.98,KNN,92.2\%,88.8\%,\textbf{82.7\%}
0.98,LR,94.9\%,94.8\%,\textbf{93.6\%}
0.98,RF,74.4\%,73.3\%,\textbf{71.7\%}
