Dataset,Classifier,Metric,Standard,G-SMOTE,Proposed
Baseball,DT,Accuracy,\textbf{0.901 $\pm$ 0.008},0.868 $\pm$ 0.014,0.870 $\pm$ 0.014
Baseball,DT,F-score,0.546 $\pm$ 0.023,0.550 $\pm$ 0.015,\textbf{0.554 $\pm$ 0.015}
Baseball,DT,G-mean,0.666 $\pm$ 0.028,0.720 $\pm$ 0.018,\textbf{0.721 $\pm$ 0.019}
Baseball,KNN,Accuracy,\textbf{0.925 $\pm$ 0.002},0.886 $\pm$ 0.011,0.892 $\pm$ 0.01
Baseball,KNN,F-score,0.556 $\pm$ 0.03,\textbf{0.581 $\pm$ 0.024},0.577 $\pm$ 0.016
Baseball,KNN,G-mean,0.640 $\pm$ 0.029,\textbf{0.731 $\pm$ 0.029},0.726 $\pm$ 0.026
Baseball,LR,Accuracy,\textbf{0.917 $\pm$ 0.004},0.866 $\pm$ 0.019,0.865 $\pm$ 0.022
Baseball,LR,F-score,0.465 $\pm$ 0.063,0.559 $\pm$ 0.018,\textbf{0.563 $\pm$ 0.021}
Baseball,LR,G-mean,0.564 $\pm$ 0.042,\textbf{0.766 $\pm$ 0.013},0.764 $\pm$ 0.014
Baseball,RF,Accuracy,\textbf{0.927 $\pm$ 0.003},0.910 $\pm$ 0.007,0.912 $\pm$ 0.007
Baseball,RF,F-score,0.590 $\pm$ 0.035,\textbf{0.612 $\pm$ 0.016},0.606 $\pm$ 0.019
Baseball,RF,G-mean,0.674 $\pm$ 0.028,\textbf{0.757 $\pm$ 0.027},0.754 $\pm$ 0.027
GD,DT,Accuracy,0.763 $\pm$ 0.011,0.769 $\pm$ 0.005,\textbf{0.782 $\pm$ 0.007}
GD,DT,F-score,0.749 $\pm$ 0.011,0.756 $\pm$ 0.005,\textbf{0.769 $\pm$ 0.008}
GD,DT,G-mean,0.843 $\pm$ 0.006,0.848 $\pm$ 0.003,\textbf{0.857 $\pm$ 0.005}
GD,KNN,Accuracy,0.830 $\pm$ 0.015,0.836 $\pm$ 0.007,\textbf{0.847 $\pm$ 0.012}
GD,KNN,F-score,0.818 $\pm$ 0.015,0.830 $\pm$ 0.008,\textbf{0.840 $\pm$ 0.012}
GD,KNN,G-mean,0.887 $\pm$ 0.008,0.894 $\pm$ 0.004,\textbf{0.901 $\pm$ 0.008}
GD,LR,Accuracy,0.812 $\pm$ 0.005,0.864 $\pm$ 0.01,\textbf{0.877 $\pm$ 0.009}
GD,LR,F-score,0.797 $\pm$ 0.01,0.853 $\pm$ 0.011,\textbf{0.865 $\pm$ 0.011}
GD,LR,G-mean,0.876 $\pm$ 0.006,0.909 $\pm$ 0.007,\textbf{0.917 $\pm$ 0.007}
GD,RF,Accuracy,0.900 $\pm$ 0.006,0.903 $\pm$ 0.01,\textbf{0.908 $\pm$ 0.008}
GD,RF,F-score,0.892 $\pm$ 0.007,0.897 $\pm$ 0.01,\textbf{0.901 $\pm$ 0.009}
GD,RF,G-mean,0.934 $\pm$ 0.004,0.937 $\pm$ 0.007,\textbf{0.939 $\pm$ 0.005}
GS,DT,Accuracy,\textbf{0.382 $\pm$ 0.008},0.366 $\pm$ 0.004,0.370 $\pm$ 0.006
GS,DT,F-score,0.327 $\pm$ 0.004,0.328 $\pm$ 0.006,\textbf{0.332 $\pm$ 0.006}
GS,DT,G-mean,0.525 $\pm$ 0.003,0.528 $\pm$ 0.005,\textbf{0.532 $\pm$ 0.006}
GS,KNN,Accuracy,\textbf{0.440 $\pm$ 0.01},0.409 $\pm$ 0.014,0.407 $\pm$ 0.016
GS,KNN,F-score,0.337 $\pm$ 0.004,\textbf{0.358 $\pm$ 0.008},0.357 $\pm$ 0.011
GS,KNN,G-mean,0.549 $\pm$ 0.004,\textbf{0.559 $\pm$ 0.007},0.557 $\pm$ 0.009
GS,LR,Accuracy,\textbf{0.446 $\pm$ 0.008},0.411 $\pm$ 0.013,0.409 $\pm$ 0.011
GS,LR,F-score,0.246 $\pm$ 0.014,0.342 $\pm$ 0.013,\textbf{0.344 $\pm$ 0.01}
GS,LR,G-mean,0.515 $\pm$ 0.007,0.565 $\pm$ 0.008,\textbf{0.566 $\pm$ 0.008}
GS,RF,Accuracy,\textbf{0.497 $\pm$ 0.008},0.480 $\pm$ 0.009,0.477 $\pm$ 0.01
