Dataset,Classifier,Metric,Standard,Proposed
Botswana,KNN,F-score,0.814 $\pm$ 0.02,\textbf{0.850 $\pm$ 0.022}
Botswana,KNN,G-mean,0.898 $\pm$ 0.016,\textbf{0.921 $\pm$ 0.011}
Botswana,LR,F-score,0.929 $\pm$ 0.01,\textbf{0.935 $\pm$ 0.009}
Botswana,LR,G-mean,0.962 $\pm$ 0.005,\textbf{0.966 $\pm$ 0.005}
Botswana,RF,F-score,0.856 $\pm$ 0.021,\textbf{0.861 $\pm$ 0.021}
Botswana,RF,G-mean,0.920 $\pm$ 0.012,\textbf{0.924 $\pm$ 0.011}
IP,KNN,F-score,0.506 $\pm$ 0.02,\textbf{0.552 $\pm$ 0.017}
IP,KNN,G-mean,0.711 $\pm$ 0.012,\textbf{0.740 $\pm$ 0.015}
IP,LR,F-score,0.584 $\pm$ 0.025,\textbf{0.592 $\pm$ 0.025}
IP,LR,G-mean,0.747 $\pm$ 0.015,\textbf{0.754 $\pm$ 0.015}
IP,RF,F-score,0.611 $\pm$ 0.03,\textbf{0.632 $\pm$ 0.029}
IP,RF,G-mean,0.768 $\pm$ 0.017,\textbf{0.787 $\pm$ 0.015}
KSC,KNN,F-score,0.774 $\pm$ 0.013,\textbf{0.789 $\pm$ 0.014}
KSC,KNN,G-mean,0.871 $\pm$ 0.008,\textbf{0.884 $\pm$ 0.007}
KSC,LR,F-score,\textbf{0.872 $\pm$ 0.018},0.870 $\pm$ 0.016
KSC,LR,G-mean,0.929 $\pm$ 0.01,\textbf{0.931 $\pm$ 0.008}
KSC,RF,F-score,0.803 $\pm$ 0.014,\textbf{0.811 $\pm$ 0.013}
KSC,RF,G-mean,0.890 $\pm$ 0.008,\textbf{0.896 $\pm$ 0.008}
PC,KNN,F-score,0.834 $\pm$ 0.038,\textbf{0.860 $\pm$ 0.029}
PC,KNN,G-mean,0.912 $\pm$ 0.017,\textbf{0.931 $\pm$ 0.012}
PC,LR,F-score,0.885 $\pm$ 0.038,\textbf{0.886 $\pm$ 0.031}
PC,LR,G-mean,0.939 $\pm$ 0.018,\textbf{0.941 $\pm$ 0.016}
PC,RF,F-score,0.860 $\pm$ 0.03,\textbf{0.865 $\pm$ 0.027}
PC,RF,G-mean,0.925 $\pm$ 0.016,\textbf{0.932 $\pm$ 0.013}
PU,KNN,F-score,0.654 $\pm$ 0.03,\textbf{0.702 $\pm$ 0.008}
PU,KNN,G-mean,0.791 $\pm$ 0.02,\textbf{0.833 $\pm$ 0.006}
PU,LR,F-score,0.774 $\pm$ 0.023,\textbf{0.783 $\pm$ 0.024}
PU,LR,G-mean,0.861 $\pm$ 0.013,\textbf{0.878 $\pm$ 0.01}
PU,RF,F-score,0.702 $\pm$ 0.038,\textbf{0.733 $\pm$ 0.014}
PU,RF,G-mean,0.817 $\pm$ 0.021,\textbf{0.852 $\pm$ 0.009}
Salinas,KNN,F-score,0.808 $\pm$ 0.011,\textbf{0.838 $\pm$ 0.018}
Salinas,KNN,G-mean,0.896 $\pm$ 0.006,\textbf{0.916 $\pm$ 0.007}
Salinas,LR,F-score,0.860 $\pm$ 0.023,\textbf{0.863 $\pm$ 0.015}
Salinas,LR,G-mean,0.924 $\pm$ 0.013,\textbf{0.927 $\pm$ 0.008}
Salinas,RF,F-score,\textbf{0.871 $\pm$ 0.021},0.868 $\pm$ 0.023
Salinas,RF,G-mean,0.932 $\pm$ 0.009,\textbf{0.934 $\pm$ 0.011}
SA,KNN,F-score,0.944 $\pm$ 0.01,\textbf{0.967 $\pm$ 0.01}
SA,KNN,G-mean,0.966 $\pm$ 0.005,\textbf{0.980 $\pm$ 0.007}
SA,LR,F-score,\textbf{0.973 $\pm$ 0.006},0.972 $\pm$ 0.006
SA,LR,G-mean,\textbf{0.983 $\pm$ 0.005},\textbf{0.983 $\pm$ 0.005}
SA,RF,F-score,0.964 $\pm$ 0.021,\textbf{0.965 $\pm$ 0.018}
SA,RF,G-mean,0.979 $\pm$ 0.012,\textbf{0.980 $\pm$ 0.011}
