Keywords,eigenvector,closeness,betweeness,clustering,pagerank,community
3d convolutional neural networks,0.039148955860637394,0.28725593429405216,0.0,0.0,0.001042723036427157,1
deep learning,0.6179141804605958,0.47752438109527384,0.4059629419659092,0.012452700378396972,0.114358482797277,1
abundance,2.235098264178812e-12,0.04759865603794716,0.0,1.0,0.0017622539848097302,2
bayesian analysis,1.1733689531079373e-11,0.06223083548664944,0.012710287128891778,0.08088235294117647,0.011810611532579899,2
hierarchical model,2.540757544865461e-12,0.04773387949260042,5.420935653493793e-06,0.6666666666666666,0.002624552149057977,2
abundance estimation,2.3868075448358406e-12,0.04786987345126879,0.0009107171897869572,0.3333333333333333,0.002745140110248638,2
hierarchical models,3.097725862102954e-12,0.04814419937362564,4.336748522795034e-05,0.5,0.002877741352838233,2
spatial point process,3.7969960954723463e-13,0.03862603581929965,0.0,0.0,0.001170033747561187,2
acoustic scene classification,0.010057621233780616,0.22429175475687105,0.0,0.0,0.0006532849396938119,1
convolutional neural networks,0.15875103802827278,0.32558480529223216,0.04351971004090428,0.0967741935483871,0.017549844480164622,1
acoustic simulation,0.003158111442168242,0.20967784439027604,0.0,1.0,0.0010740408871566388,4
reverberation,0.003158111442168242,0.20967784439027604,0.0,1.0,0.0010740408871566388,4
speech recognition,0.04669206413692587,0.2952777090549233,0.01978551164597676,0.1111111111111111,0.006066413379401656,4
acoustics,0.039148955860637394,0.28725593429405216,0.0,0.0,0.00047379726415592053,1
action recognition,0.049206577094418,0.29216952264381885,0.0,1.0,0.001231680257937892,1
active learning,0.039148955860637394,0.28725593429405216,0.0,0.0,0.0006731370816500371,1
activity recognition,0.06182080427773497,0.298052130482285,0.0,1.0,0.0016264885955190383,1
machine learning,0.17947004444424433,0.34479633107034524,0.043068226956062446,0.11931818181818182,0.018916592060994625,1
transfer learning,0.1783877658905735,0.3431975845584271,0.046843172555896366,0.10476190476190476,0.017949095941362528,1
adversarial examples,0.0004535994294843125,0.17173150596233747,0.0,0.0,0.001005892947489081,1
robust speech recognition,0.007159570004702506,0.22543029158304803,0.004998102672521277,0.3333333333333333,0.003062132621900635,1
aerial image,0.04787490290096098,0.28875011340611484,0.0,1.0,0.0012842541081408963,1
drone,0.04787490290096098,0.28875011340611484,0.0,1.0,0.0014949913284760473,1
